                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2512,                 3.7776,                  1.512,                0.25101,                0.55723,                 0.3014,                0.25092,                0.76979,                  3.092,                 1.1626,                 0.0784,                 0.0024,                 0.0024
                      1,                 1.1381,                 2.6208,                  1.399,                0.32245,                0.55896,                0.36323,                0.29717,                 0.7862,                 2.2631,                 1.1693,               0.055868,              0.0048677,              0.0048677
                      2,                 1.0746,                 2.2123,                 1.3076,                0.38806,                0.54533,                0.46368,                 0.3542,                0.83576,                 1.9682,                 1.2129,               0.033302,              0.0073023,              0.0073023
                      3,                  1.082,                 2.0013,                 1.2821,                0.52338,                0.41167,                0.47353,                0.33763,                0.91161,                 1.9731,                 1.2349,               0.010704,               0.009704,               0.009704
                      4,                 1.1125,                 1.8985,                 1.2968,                0.42925,                0.49748,                0.47231,                0.37478,                 1.0574,                 1.9413,                 1.4642,               0.009736,               0.009736,               0.009736
                      5,                 1.1185,                 1.6484,                 1.2892,                0.36548,                 0.4637,                0.41766,                0.29555,                 1.1829,                 2.2494,                 1.5118,               0.009736,               0.009736,               0.009736
                      6,                 1.1444,                 1.7422,                 1.3449,                0.51177,                0.73312,                0.59827,                0.44697,                 1.0563,                 1.6698,                 1.4403,                0.00967,                0.00967,                0.00967
                      7,                 1.2041,                 1.5599,                 1.3657,                0.48372,                0.69648,                0.58025,                0.41572,                 1.0268,                 1.7619,                 1.4276,               0.009604,               0.009604,               0.009604
                      8,                 1.1434,                 1.3712,                 1.3633,                0.44831,                0.61282,                0.48832,                0.35837,                  1.095,                  2.778,                 1.5845,               0.009538,               0.009538,               0.009538
                      9,                 1.0987,                 1.3781,                 1.3294,                0.48005,                0.59314,                0.49323,                0.35464,                 1.0515,                 2.1608,                 1.5113,               0.009472,               0.009472,               0.009472
                     10,                 1.1786,                 1.4244,                 1.3573,                0.49127,                0.47335,                0.49135,                 0.3478,                 1.1093,                 1.6761,                 1.4815,               0.009406,               0.009406,               0.009406
                     11,                 1.1035,                 1.2881,                 1.3275,                0.60344,                 0.5103,                0.56538,                0.37279,                 1.2148,                 1.8166,                 1.5423,                0.00934,                0.00934,                0.00934
                     12,                 1.1057,                 1.1763,                  1.297,                 0.3576,                0.55118,                0.41576,                0.28074,                 1.2847,                 1.8443,                 1.7072,               0.009274,               0.009274,               0.009274
                     13,                  1.087,                 1.1025,                 1.3043,                0.55109,                0.59857,                 0.6126,                0.43755,                 1.0813,                  1.366,                 1.4867,               0.009208,               0.009208,               0.009208
                     14,                 1.0441,                 1.0056,                 1.2705,                0.60551,                0.47154,                0.54423,                0.40371,                 1.0559,                 1.5231,                 1.4363,               0.009142,               0.009142,               0.009142
                     15,                 1.1276,                 1.2049,                 1.3235,                0.57991,                0.66678,                0.60551,                 0.4111,                 1.1012,                 1.7664,                 1.4738,               0.009076,               0.009076,               0.009076
                     16,                 1.1603,                 1.1683,                  1.312,                0.66141,                0.56828,                0.60589,                0.44695,                 1.0559,                 1.4537,                 1.3596,                0.00901,                0.00901,                0.00901
                     17,                 1.1395,                 1.1783,                   1.34,                0.69833,                0.42892,                0.56154,                0.41308,                 1.0688,                 1.4561,                 1.4049,               0.008944,               0.008944,               0.008944
                     18,                  1.204,                  1.254,                 1.3415,                0.47764,                0.57649,                0.57355,                0.41537,                 1.2042,                 1.6362,                 1.5871,               0.008878,               0.008878,               0.008878
                     19,                  1.091,                 1.1054,                  1.292,                0.59926,                0.66189,                0.63329,                 0.4721,                 1.1783,                 1.2743,                 1.5801,               0.008812,               0.008812,               0.008812
                     20,                 1.1352,                 1.0617,                  1.318,                0.64015,                0.56679,                0.59539,                0.46124,                  1.152,                 1.3009,                 1.5282,               0.008746,               0.008746,               0.008746
                     21,                 1.0989,                 1.1389,                 1.3039,                0.61673,                0.54235,                0.58833,                0.37275,                 1.3299,                 1.4118,                 1.6885,                0.00868,                0.00868,                0.00868
